config,n_features,features_added,model,MAE (dk),RMSE (dk),MAPE (%),R2
c0,6,taban: temporal+spatial,XGBoost Improved (log-transform),0.4117,0.6796,39.24,0.4914
c0,6,taban: temporal+spatial,RF Improved (log-transform),0.4127,0.6798,39.17,0.491
c1,7,+ scheduled_travel_min (GTFS),XGBoost Improved (log-transform),0.4126,0.6846,39.36,0.4839
c1,7,+ scheduled_travel_min (GTFS),RF Improved (log-transform),0.4131,0.6812,39.24,0.489
c2,12,"+ deviation/lag (prev, cumul, rolling, is_trip_start)",XGBoost Improved (log-transform),0.3834,0.6557,35.95,0.5265
c2,12,"+ deviation/lag (prev, cumul, rolling, is_trip_start)",RF Improved (log-transform),0.3867,0.6548,36.3,0.5277
c3,15,"+ historical (stop_hist_median/ratio, prev_speed_mpm)",XGBoost Improved (log-transform),0.3825,0.6543,35.86,0.5285
c3,15,"+ historical (stop_hist_median/ratio, prev_speed_mpm)",RF Improved (log-transform),0.3861,0.6542,36.3,0.5287
c4,17,"+ dwell (dwell_time_sec, prev_dwell_time_sec)",XGBoost Improved (log-transform),0.3712,0.6465,35.95,0.5396
c4,17,"+ dwell (dwell_time_sec, prev_dwell_time_sec)",RF Improved (log-transform),0.3774,0.6719,37.44,0.5028
