segments_into_trip,n,mae_xgb_full,mae_ci_lo,mae_ci_hi,mae_xgb_c0,mae_xgb_c1
0,3324,0.5531,0.4557,0.6886,1.0144,1.0137
1,970,0.8302,0.7516,0.9053,0.8536,0.8555
2,955,0.4896,0.4434,0.5397,0.5736,0.5742
3,939,0.3738,0.3404,0.4162,0.4149,0.4155
4,919,0.3494,0.3272,0.3763,0.3871,0.3875
5,895,0.3557,0.3366,0.3755,0.3784,0.3793
6,875,0.3347,0.3179,0.3518,0.3646,0.3647
7,848,0.3656,0.3383,0.3965,0.398,0.3975
8,817,0.3518,0.3265,0.3763,0.3679,0.3676
9,793,0.3749,0.3379,0.4184,0.4273,0.4271
10,759,0.3565,0.3316,0.3876,0.3848,0.3854
11,715,0.346,0.3194,0.3753,0.3955,0.3954
12,3506,0.3572,0.3377,0.3814,0.4108,0.4111
