dimension,level,n,mae_xgb,mae_ci_lo,mae_ci_hi,mae_rf,mean_y
hour,6,2516,0.5326,0.492,0.5821,0.5493,1.3741
hour,7,1711,0.4564,0.4041,0.5146,0.4562,1.1669
hour,8,1748,0.4497,0.402,0.4917,0.45,1.1736
hour,9,2141,0.4314,0.3914,0.4735,0.4296,1.1985
hour,10,2539,0.4223,0.3861,0.4665,0.4216,1.2262
hour,11,3075,0.4355,0.3966,0.4736,0.4399,1.2907
hour,12,3692,0.431,0.3897,0.4684,0.4367,1.3082
hour,13,4117,0.3973,0.3644,0.4301,0.402,1.2213
hour,14,2942,0.4894,0.4416,0.5479,0.4931,1.3595
hour,15,2677,0.5253,0.4523,0.6069,0.531,1.3815
hour,16,2787,0.4526,0.4034,0.5011,0.4536,1.216
hour,17,2032,0.4143,0.3652,0.464,0.4163,1.0945
hour,18,1648,0.3799,0.3361,0.4217,0.3838,1.1174
hour,19,1456,0.4048,0.3611,0.4519,0.4041,1.0922
hour,20,1074,0.3802,0.319,0.455,0.3837,1.0729
hour,21,590,0.3658,0.3155,0.4238,0.401,0.9978
hour,22,100,0.4156,0.291,0.7578,0.4445,0.9654
timeblock,morning (06-10),8116,0.472,0.4404,0.5055,0.4767,1.2409
timeblock,midday (10-16),19042,0.4456,0.4237,0.4692,0.4497,1.2939
timeblock,evening (16-20),7923,0.4189,0.3953,0.4428,0.4204,1.1416
timeblock,night (20-23),1764,0.3774,0.327,0.4341,0.3929,1.0417
weekend,weekday,26944,0.4472,0.4266,0.4696,0.4519,1.2755
weekend,weekend,9901,0.4293,0.3884,0.4712,0.4323,1.1337
seg_len,Q1 shortest,9625,0.3281,0.3173,0.34,0.3336,0.9512
seg_len,Q2,9787,0.2835,0.2579,0.3132,0.2926,1.0754
seg_len,Q3,8470,0.7526,0.7158,0.7948,0.75,1.6506
seg_len,Q4 longest,8963,0.4455,0.4255,0.4676,0.4495,1.3312
weather,clear,11433,0.4514,0.4253,0.4811,0.458,1.2514
weather,cloudy,24344,0.4349,0.4116,0.4609,0.438,1.2299
weather,rainy,1068,0.5174,0.4489,0.5979,0.5207,1.2596
direction,Cengizhan->Halkapinar,12486,0.5637,0.5397,0.5891,0.5637,1.2761
direction,Halkapinar->Cengizhan,24359,0.3802,0.3596,0.3988,0.3866,1.2176
